Total of Voters:5, Total Voters in Stations:3, Votes to end: 3 voters
| Door       | Voter      | Clerk      | Validation | Booth      | ScoreA     | ScoreB     | Exit       | ExitPollA  | ExitPollB  |
-----------------------------------------------------------------------------------------------------------------------------------
| Op         |            |            |            |            |            |            |            |            |            |
|            | 0          |            |            |            |            |            |            |            |            |
|            | 2          |            |            |            |            |            |            |            |            |
|            | 3          |            |            |            |            |            |            |            |            |
|            | 1          |            |            |            |            |            |            |            |            |
|            | 4          |            |            |            |            |            |            |            |            |
|            |            | 0          |            |            |            |            |            |            |            |
|            |            | 2          |            |            |            |            |            |            |            |
|            |            | 3          |            |            |            |            |            |            |            |
|            |            | 4          |            |            |            |            |            |            |            |
|            |            | 1          |            |            |            |            |            |            |            |
|            |            |            | 3-         |            |            |            |            |            |            |
|            |            |            |            | 3A         | 01         | 00         |            |            |            |
|            |            |            |            |            |            |            | 3A         | 01         | 00         |
|            | 1003       |            |            |            |            |            |            |            |            |
|            |            | 1003       |            |            |            |            |            |            |            |
|            |            |            | 1003-      |            |            |            |            |            |            |
|            |            |            |            | 1003A      | 02         | 00         |            |            |            |
|            |            |            |            |            |            |            | 1003A      | 02         | 00         |
|            | 1003       |            |            |            |            |            |            |            |            |
|            |            | 1003       |            |            |            |            |            |            |            |
|            |            |            | 1003-      |            |            |            |            |            |            |
|            |            |            |            |            |            |            | 1003A      | 03         | 00         |
|            | 2003       |            |            |            |            |            |            |            |            |
|            |            | 2003       |            |            |            |            |            |            |            |
|            |            |            | 2003-      |            |            |            |            |            |            |
|            |            |            |            | 2003A      | 03         | 00         |            |            |            |
|            |            |            |            |            |            |            | 2003A      | 04         | 00         |
|            | 3003       |            |            |            |            |            |            |            |            |
|            |            | 3003       |            |            |            |            |            |            |            |
|            |            |            | 3003-      |            |            |            |            |            |            |
|            |            |            |            | 3003B      | 03         | 01         |            |            |            |
|            |            |            |            |            |            |            | 3003B      | 04         | 01         |
|            | 3003       |            |            |            |            |            |            |            |            |
|            |            | 3003       |            |            |            |            |            |            |            |
|            |            |            | 3003-      |            |            |            |            |            |            |
|            |            |            |            |            |            |            | 3003B      | 04         | 02         |
|            | 4003       |            |            |            |            |            |            |            |            |
|            |            | 4003       |            |            |            |            |            |            |            |
|            |            |            | 4003-      |            |            |            |            |            |            |
|            |            |            |            | 4003A      | 04         | 01         |            |            |            |
