Total of Voters:5, Total Voters in Stations:3, Votes to end: 10 voters
| Door       | Voter      | Clerk      | Validation | Booth      | ScoreA     | ScoreB     | Exit       | ExitPollA  | ExitPollB  |
-----------------------------------------------------------------------------------------------------------------------------------
| Op         |            |            |            |            |            |            |            |            |            |
|            | 2          |            |            |            |            |            |            |            |            |
|            | 3          |            |            |            |            |            |            |            |            |
|            |            | 2          |            |            |            |            |            |            |            |
|            | 0          |            |            |            |            |            |            |            |            |
|            | 1          |            |            |            |            |            |            |            |            |
|            | 4          |            |            |            |            |            |            |            |            |
|            |            |            | 2+         |            |            |            |            |            |            |
|            |            | 3          |            |            |            |            |            |            |            |
|            |            | 0          |            |            |            |            |            |            |            |
|            |            | 1          |            |            |            |            |            |            |            |
|            |            |            |            | 2A         | 01         | 00         |            |            |            |
|            |            |            |            |            |            |            | 2          | 00         | 00         |
|            |            |            | 3+         |            |            |            |            |            |            |
|            |            | 4          |            |            |            |            |            |            |            |
|            |            |            |            | 3A         | 02         | 00         |            |            |            |
|            |            |            |            |            |            |            | 3          | 00         | 00         |
|            |            |            | 0+         |            |            |            |            |            |            |
|            |            |            |            | 0B         | 02         | 01         |            |            |            |
|            |            |            |            |            |            |            | 0          | 00         | 00         |
|            |            |            | 1+         |            |            |            |            |            |            |
|            |            |            |            | 1A         | 03         | 01         |            |            |            |
|            |            |            |            |            |            |            | 1          | 00         | 00         |
|            |            |            | 4+         |            |            |            |            |            |            |
|            |            |            |            | 4A         | 04         | 01         |            |            |            |
|            |            |            |            |            |            |            | 4          | 00         | 00         |
|            | 2          |            |            |            |            |            |            |            |            |
|            |            | 2          |            |            |            |            |            |            |            |
|            |            |            | 2-         |            |            |            |            |            |            |
|            |            |            |            |            |            |            | 2          | 00         | 00         |
|            | 1003       |            |            |            |            |            |            |            |            |
|            |            | 1003       |            |            |            |            |            |            |            |
|            |            |            | 1003+      |            |            |            |            |            |            |
|            |            |            |            | 1003B      | 04         | 02         |            |            |            |
|            |            |            |            |            |            |            | 1003B      | 00         | 01         |
|            | 0          |            |            |            |            |            |            |            |            |
|            |            | 0          |            |            |            |            |            |            |            |
|            |            |            | 0-         |            |            |            |            |            |            |
|            |            |            |            |            |            |            | 0          | 00         | 01         |
|            | 1001       |            |            |            |            |            |            |            |            |
|            |            | 1001       |            |            |            |            |            |            |            |
|            |            |            | 1001+      |            |            |            |            |            |            |
|            |            |            |            | 1001B      | 04         | 03         |            |            |            |
|            |            |            |            |            |            |            | 1001       | 00         | 01         |
|            | 1004       |            |            |            |            |            |            |            |            |
|            |            | 1004       |            |            |            |            |            |            |            |
|            |            |            | 1004+      |            |            |            |            |            |            |
|            |            |            |            | 1004A      | 05         | 03         |            |            |            |
|            |            |            |            |            |            |            | 1004       | 00         | 01         |
|            | 2          |            |            |            |            |            |            |            |            |
|            |            | 2          |            |            |            |            |            |            |            |
|            |            |            | 2-         |            |            |            |            |            |            |
|            |            |            |            |            |            |            | 2B         | 00         | 02         |
|            | 2003       |            |            |            |            |            |            |            |            |
|            |            | 2003       |            |            |            |            |            |            |            |
|            |            |            | 2003+      |            |            |            |            |            |            |
|            |            |            |            | 2003A      | 06         | 03         |            |            |            |
|            |            |            |            |            |            |            | 2003       | 00         | 02         |
|            | 0          |            |            |            |            |            |            |            |            |
|            |            | 0          |            |            |            |            |            |            |            |
|            |            |            | 0-         |            |            |            |            |            |            |
|            |            |            |            |            |            |            | 0          | 00         | 02         |
|            | 1001       |            |            |            |            |            |            |            |            |
|            |            | 1001       |            |            |            |            |            |            |            |
|            |            |            | 1001-      |            |            |            |            |            |            |
|            |            |            |            |            |            |            | 1001       | 00         | 02         |
|            | 1004       |            |            |            |            |            |            |            |            |
|            |            | 1004       |            |            |            |            |            |            |            |
|            |            |            | 1004-      |            |            |            |            |            |            |
|            |            |            |            |            |            |            | 1004       | 00         | 02         |
